tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
200,0.087504480,0.236103520,0.592337820,0.070570780,0.048200520,0.337156760,0.037194700
400,0.322136900,0.898674860,2.355129880,0.148872320,0.107089480,1.621036000,0.073069380
600,0.725866120,1.999258400,5.280365080,0.231889300,0.168573000,2.674482560,0.109608800
800,1.273375600,3.517955020,9.431889700,0.313726340,0.243068080,5.723383800,0.145055300
1000,1.954626500,5.477918860,14.632154980,0.392665880,0.303539300,10.120711220,0.184655880
1200,3.132495400,8.094097900,22.683793240,0.491429880,0.393504180,13.087600560,0.226895280
1400,3.866232400,10.734202820,28.917284380,0.564482380,0.455706740,18.448716720,0.253131700
1600,4.934407840,14.019474800,40.150100820,0.671541680,0.550678380,21.538649160,0.288649220
1800,6.309155580,17.746929700,47.731401420,0.725426520,0.576688300,34.961578360,0.328155260
2000,7.694285360,21.755968000,58.401709520,0.813029420,0.682306780,40.244531260,0.360482880
2200,9.421379340,26.198591560,70.971305740,0.902012720,0.769235620,43.247529800,0.397150300
2400,11.103948500,32.139432360,86.774566360,1.026352380,0.860404180,66.587769540,0.437544220
2600,13.078535280,37.256588160,101.975047380,1.656428380,1.184495420,84.839076520,0.474592940
2800,15.115717580,42.624387360,123.588966660,1.156431080,0.945288980,90.830648360,0.508313660
3000,17.156154440,48.576980580,130.242577620,1.240088040,1.057390040,81.590685480,0.540884040
3200,19.392137020,55.199407900,147.789493360,1.342630980,1.107762720,131.649876540,0.592249560
3400,21.978815540,63.559709160,167.607562900,1.432920380,1.221949740,108.212284580,0.645735360
3600,24.688637960,70.725807320,186.644321080,1.501598600,1.224094280,128.934506860,0.648384220
3800,27.136700260,77.915760040,208.632253700,1.617068920,1.368493940,127.379118560,0.685482900
4000,30.134704240,86.058316380,230.370649520,1.679846560,1.392308260,166.974276280,0.719777100
4200,33.111002980,95.084005880,253.463858900,1.773329300,1.488237320,162.671832340,0.758059340
4400,36.534331980,104.759877140,278.910105760,1.864070000,1.573534340,197.525233980,0.794159960
4600,40.268029360,114.113124800,305.260567840,2.087901960,1.769480920,227.986599680,0.829487840
4800,43.689041440,123.955466220,332.351102780,2.042710420,1.847178680,258.877809160,0.869548180
5000,47.560791360,134.633040660,360.902766860,2.132794040,1.904375560,263.941081220,0.903446480
