tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
200,0.155416760,0.260027840,0.708328300,0.063709580,0.248856780,0.038067780,0.036990380
400,0.611768260,1.032598140,2.814582980,0.130507060,0.958894240,0.086918480,0.072910540
600,1.373046980,2.345456400,6.359295600,0.198031460,2.095097600,0.140847920,0.108906000
800,2.436152420,4.177854460,11.336312660,0.266103320,3.659543680,0.190686620,0.144965020
1000,3.792576980,6.717031320,17.727250320,0.333898860,5.658122920,0.239612900,0.181641300
1200,5.461621120,9.469248660,25.858482620,0.406506520,8.065754900,0.312797760,0.217413980
1400,7.414270600,12.913703740,34.758789400,0.471422060,10.954263200,0.367080760,0.253192180
1600,9.689013800,16.907698120,46.238418480,0.544633080,14.332608120,0.420474100,0.288520800
1800,12.384288880,21.629848460,57.928859920,0.618335720,18.735217360,0.471152460,0.332903120
2000,16.698811520,26.671442220,72.479028600,0.689599980,22.770077800,0.543510220,0.368593760
2200,19.876324820,34.708933900,88.782731780,0.770815940,27.636740760,0.619892500,0.399137440
2400,22.029507940,38.910734080,103.840600680,0.830312980,32.588501960,0.682428100,0.433620000
2600,25.589832780,45.132288720,126.964346260,0.905346200,38.198633080,0.747781200,0.487415980
2800,29.699791360,52.490493760,139.605220060,0.962844260,44.199384580,0.811320640,0.504978340
3000,34.210830720,60.041237760,160.171897120,1.056566220,50.845836560,0.880753480,0.540577220
3200,38.801165720,68.452936600,181.993102240,1.111042380,57.621332180,0.922361540,0.575618180
3400,43.668812160,77.206951300,205.289916960,1.182445080,65.234993740,0.972484960,0.615382160
3600,49.023954480,86.757234640,230.218990980,1.253653100,72.995639800,1.022619880,0.654932060
3800,54.526560820,96.645348840,256.390680700,1.325803700,81.287266260,1.082767560,0.689872540
4000,60.462428160,107.387775320,284.286678400,1.389157060,90.121781120,1.158646420,0.719046100
4200,66.592792260,118.478799040,313.539683660,1.464606380,99.415986100,1.288711160,0.757849240
4400,73.107449520,130.125914180,343.606261640,1.540881360,109.018278780,1.339930880,0.795945800
4600,79.922134220,142.476492340,378.988453660,1.643722380,119.796526600,1.422931060,0.827907580
4800,88.370168040,155.641146280,409.979612400,1.685352280,129.762032140,1.487130340,0.864523520
5000,94.396860060,168.034584400,446.004913800,1.755241000,141.155111060,1.515543640,0.903744340
