tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
16,0.001324400,0.001284600,0.001647700,0.004815000,0.000871100,0.001658200,0.067382100
32,0.005730400,0.004333500,0.007640100,0.009721300,0.002854900,0.004684300,0.072028800
64,0.019531100,0.015517600,0.028620900,0.020838100,0.008390300,0.016463200,0.079972200
128,0.075891900,0.056620600,0.117109300,0.043907500,0.016654800,0.076034700,0.097281300
256,0.398481800,0.210213800,0.478489800,0.091849200,0.038396300,0.248420700,0.130972600
512,1.285353900,0.806980000,1.925383500,0.190640800,0.091488100,1.026249400,0.197422000
1024,4.898035400,3.155023500,8.012142600,0.395634700,0.219481400,4.294571700,0.329433400
2048,19.414008500,12.424174400,32.553139400,0.812156600,0.476864300,19.573000700,0.648125700
4096,79.031822900,49.250342900,133.279817600,1.692083600,1.024727200,74.229709400,1.163781300
