tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
16,0.000296100,0.002133900,0.000245100,0.008829500,0.003206100,0.000697200,0.162690400
32,0.000427200,0.006482000,0.000400900,0.016762700,0.011797900,0.001513700,0.164448600
64,0.000774400,0.022926000,0.000706400,0.034403000,0.037635700,0.003528800,0.180549700
128,0.001506600,0.085973000,0.001342200,0.070253600,0.139501200,0.008240400,0.208549500
256,0.002926700,0.376892000,0.002483400,0.289073200,0.535931700,0.019107000,0.251627600
512,0.005228400,1.454841200,0.004695300,0.264066800,1.815479000,0.035650300,0.314171700
1024,0.010408900,4.241991400,0.007217600,0.412866200,5.378166900,0.057528500,0.355658000
2048,0.013570700,12.800367900,0.012171900,0.695350200,20.128690000,0.127893300,0.638922300
4096,0.027101200,49.661714500,0.024233900,1.403861600,79.596100800,0.281028500,1.194063000
