tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
16,0.002355000,0.001228400,0.002444600,0.004672200,0.001405000,0.000879800,0.067585500
32,0.009354400,0.004185100,0.009783000,0.009909700,0.005191000,0.002257500,0.072361200
64,0.037822300,0.015506100,0.038910900,0.020235800,0.019677300,0.005314900,0.080259600
128,0.150685400,0.056914900,0.155264200,0.040939200,0.074604000,0.012408200,0.097590400
256,0.705154900,0.212456700,0.633386500,0.080121700,0.293676900,0.027859300,0.131581600
512,2.511270200,0.999395400,2.490671700,0.160727600,1.122409400,0.061978400,0.198561300
1024,9.951307100,3.510988500,9.997460900,0.337054000,4.485900300,0.137208600,0.336393200
2048,39.630595400,16.403195200,39.968416700,0.658272500,17.392018700,0.299874600,0.612286900
4096,157.559908200,70.760101500,158.140997900,1.328156100,68.902741300,0.651856100,1.160805300
