tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
3000,38.107178600,38.191438200,84.773806200,1.034032000,35.720187700,0.425881900,2.334931900
6000,152.327022700,158.812663700,338.958884400,2.084563800,144.215979900,0.930331800,3.306159800
9000,342.754741300,360.973865500,762.590716300,3.104470400,325.000867500,1.456719200,4.272184900
12000,609.527459100,644.395842900,1355.633171900,4.198743200,578.261823900,2.016950100,5.241284400
15000,952.546533100,1009.973634300,2118.150370100,5.188408400,904.216796600,2.486367700,6.218629200
18000,1371.867648700,1457.149889300,3050.420006400,6.270116000,1303.069684400,3.156419500,7.183216900
21000,1867.881729500,1983.546342700,4152.698468200,7.413446900,1773.983625600,3.659663900,8.156062600
24000,2439.977108600,2593.254010100,5424.423372600,8.476607400,2318.359025200,4.347519200,9.141031900
27000,3088.268517800,3285.718602800,6865.657498300,9.508042900,2936.489324000,4.910867500,10.099113700
30000,3812.885415600,4060.520915400,8476.339461600,10.469009800,3628.247661900,5.367946800,11.065786100
33000,4613.700443200,4918.918833400,10256.566544900,11.378498800,4394.073829200,6.127066600,12.030048600
36000,5490.826070600,5856.675979400,12206.445424600,12.669661600,5232.904772800,6.793512200,13.060528200
39000,6444.261028200,6878.790191400,14325.978999500,13.831274200,6145.985954100,7.226856900,14.051838400
42000,7473.872291300,7982.252354700,16614.206361000,14.964153600,7131.950492300,7.868023200,15.015195300
45000,8579.377324600,9167.206931700,19072.264242000,16.047885100,8194.057506200,8.505798700,16.001218700
48000,9761.343756600,10435.427006000,21699.920812800,17.098284800,9330.406629400,9.328732200,17.123368700
51000,11019.578956900,11785.319567600,24496.962356000,18.148518800,10539.621741200,9.770465900,18.063919600
54000,12354.029021300,13223.351592300,27465.693291500,19.199601900,11824.979652600,10.528178800,19.002037100
57000,13765.396229800,14741.069288300,30601.308408300,20.166142000,13184.864761500,11.013583900,19.982595800
60000,15252.182704400,16343.929255600,33906.460235700,21.155533600,14619.589659900,11.511402300,21.047873800
63000,16815.797196100,18032.698122600,37382.169588100,22.162048500,16128.654817700,12.077307100,21.958766500
66000,18455.357946200,19802.627420000,41028.039350000,23.023587800,17711.141140100,13.122587300,22.956060600
69000,20171.113167000,21655.898647200,44842.200209800,24.381502500,19366.825745900,13.633727200,23.951813900
72000,21963.417832500,23595.799943200,48830.293373600,25.596304300,21096.470307600,14.486246500,24.867437400
75000,23831.062777200,25605.676195300,52978.426094000,26.789342300,22896.012084600,15.261237800,25.929651700
78000,25774.984608900,27705.278675500,57304.194693800,27.950241900,24774.926376600,15.475001500,26.999689000
81000,27798.323850500,29884.406815900,61797.413759000,29.054016100,26720.335201300,16.297593300,27.938533300
84000,29889.037675300,32139.111381500,66445.916264800,30.233902400,28737.580805800,16.830653200,28.892661300
87000,32063.164954400,34484.674988800,71277.213113600,31.413250600,30831.623144800,17.660945200,29.988672300
90000,34320.636972300,36911.810648400,76283.502816500,32.461438100,33001.157934300,18.195418700,30.949099000
