tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
3000,18.993850900,26.466765100,70.375703500,1.244290500,0.698712400,32.111663300,2.337683200
6000,75.868554700,105.223054200,284.631194700,2.548288600,1.624014000,148.739259700,3.310202300
9000,171.864673800,236.179746200,644.313801000,3.858242100,2.359912600,335.815270400,4.275104900
12000,305.393310800,419.384723000,1148.703508900,5.220317400,3.637095300,641.403965500,5.242917900
15000,473.910954900,654.847634300,1791.123056500,6.516258800,4.421054500,978.795114100,6.214313700
18000,684.597961900,942.528532300,2588.175671900,7.910981500,5.321878700,1547.809916400,7.180084900
21000,931.181298800,1282.414417800,3523.531491800,9.329207900,6.106919700,2013.154298400,8.162430700
24000,1217.303337300,1674.437577100,4597.421958900,10.697543900,7.096755500,2758.894090700,9.132713700
27000,1544.422076100,2118.070861400,5827.411755900,12.079028200,8.165097700,3477.711048500,10.092391600
30000,1911.174523700,2614.833396000,7200.301171200,13.357049500,9.255651900,4028.132942300,11.073467800
33000,2314.877390000,3163.865447000,8721.319381000,14.612699200,10.735116600,4990.587323400,12.045849100
36000,2755.684567000,3765.218810200,10381.974417500,16.217350700,11.100582500,6969.001780500,13.094604200
39000,3234.792060200,4418.500696100,12180.325165400,17.645535700,13.183944200,6999.079957700,14.033297800
42000,3755.762364300,5124.987845100,14122.469748600,19.108913500,13.341330600,8623.453944100,14.996989900
45000,4301.733571000,5881.954796900,16198.188638400,20.544922800,15.432240700,9007.453288000,16.008448100
48000,4893.886491700,6691.521572000,18428.434742500,21.936341200,15.335185100,11632.386636600,17.098408600
51000,5516.198227100,7553.759365200,20783.681718700,23.336637800,16.866606800,12498.504674900,18.007321800
54000,6188.037556000,8467.980775200,23287.181569000,24.748113300,17.717476500,14122.894291600,18.971969000
57000,6886.787674700,9434.371127900,25926.605374400,26.025851700,18.178319000,16060.962169900,20.071212000
60000,7630.061023000,10453.353926300,28710.612799300,27.384672400,19.619786500,17249.110719200,21.036153600
63000,8404.994587500,11524.635513800,31648.254526500,28.716396500,22.066549100,18827.995764600,21.971734400
66000,9212.209744900,12647.638150100,34711.431379400,29.938929600,21.253040300,20660.604183200,22.940273300
69000,10063.127862200,13823.131382400,37934.180595300,31.624593400,24.121336000,21976.830347700,23.959154900
72000,10942.059738400,15051.894937800,41273.678267600,33.212535500,24.191301400,25541.624880100,24.930841500
75000,11867.616157600,16331.390917900,44772.973574400,34.739176800,25.384269400,26503.248088300,25.998598300
78000,12852.296450200,17662.448221200,48448.492673500,36.150109100,25.764527200,29450.803796700,27.015680400
81000,13871.080483700,19054.221198900,52272.322909100,37.597042900,31.655573500,31819.943241000,28.033660000
84000,14920.223700700,20515.550620100,56300.073121700,39.500374800,27.897911800,33807.039438800,28.909915400
87000,16013.140848400,22014.263945700,60344.553496200,40.707220300,29.578772400,35686.154447500,29.978037200
90000,17144.853219300,23540.063392200,64905.997097300,42.110896200,30.936004600,39330.510190000,31.008529100
