tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
3000,33.901216600,59.730147600,158.036970600,1.034140400,51.654573400,0.855427200,0.670035500
6000,135.465460900,240.478267100,633.098716600,2.099990800,205.259126600,1.860070300,1.341844400
9000,304.765328300,542.105221900,1426.480127800,3.204384400,460.136262100,2.956106000,2.012102300
12000,541.943707000,966.885853200,2538.476025400,4.285212600,816.526362400,4.014770300,2.680153900
15000,846.827230700,1513.382241800,3970.048744500,5.409660200,1274.923621500,4.959688900,3.344006900
18000,1219.523663900,2182.854895100,5717.608816100,6.524775400,1834.696339400,6.344696000,4.013536900
21000,1659.922329900,2973.339884500,7785.401013500,7.633600700,2496.082220800,7.397833500,4.684223700
24000,2168.096494900,3884.677023500,10170.461494600,8.719089500,3259.231391800,8.627797300,5.357759300
27000,2743.979583000,4918.305518300,12871.874795800,9.907149300,4123.758515000,9.652341500,6.034676900
30000,3387.638264500,6073.390554700,15893.122760000,11.017184900,5089.462680600,10.658393600,6.701436000
33000,4099.227671100,7352.072416100,19232.192370900,12.081092200,6157.078379500,12.333183200,7.368223500
36000,4878.381054900,8750.641922700,22889.122523100,13.295199600,7325.040987800,13.597618400,8.030086300
39000,5725.327771400,10272.043729900,26863.638129100,14.421308900,8593.725563300,14.610580100,8.708293700
42000,6640.213308300,11918.129209800,31155.802230400,15.543888800,9967.020536300,15.826056800,9.381798200
45000,7622.525266600,13685.203479600,35764.886259500,16.655133500,11444.022163200,17.036887900,10.054641100
48000,8672.760179700,15575.350882400,40690.349929200,17.774057900,13023.063309000,18.434067400,10.742168300
51000,9790.781780100,17585.195750800,45935.611425600,18.964250400,14703.735604800,19.366635500,11.396127300
54000,10976.478881000,19716.690747400,51500.955512700,20.163555400,16487.966945300,20.646706200,12.058061600
57000,12230.235372400,21973.980349400,57386.807011800,21.215774200,18374.777340900,21.771429200,12.734760200
60000,13551.650180400,24350.025776000,63582.720290500,22.413277200,20363.137898000,22.802480200,13.404485800
63000,14940.540714800,26848.707564800,70102.159332600,23.566698500,22452.380145300,23.943274500,14.068945600
66000,16397.737361800,29470.859917100,76935.281880300,24.522145100,24645.429191600,26.299568600,14.749778700
69000,17922.849794900,32216.190978600,84087.841869900,26.012314100,26936.292928300,27.470515000,15.413146100
72000,19515.207935400,35083.447226500,91560.749394400,27.027142700,29330.590297000,28.945926900,16.065960500
75000,21175.189429300,38070.788980500,99365.157371200,28.466109400,31825.218803400,30.194019000,16.762791000
78000,22903.755155200,41177.858884500,107472.561777800,29.309289000,34425.516897800,31.122552400,17.430276600
81000,24699.051683700,44407.739397400,115889.553940400,30.351939700,37124.269408300,32.508808600,18.085118300
84000,26565.604626000,47760.227440400,124644.801011700,31.631071900,39926.660428300,33.734235100,18.795736800
87000,28494.673465800,51234.251089900,133699.332078300,32.783871100,42827.894040900,35.158554300,19.442100700
90000,30494.164105800,54831.181862100,143084.120788900,33.821984800,45830.878888100,36.302756900,20.099120800
