tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
3000,0.077263300,48.206669900,0.047959800,1.065026500,52.339792700,0.602941100,0.559564600
6000,0.132830000,192.266642200,0.096189200,2.168035500,212.631000900,1.316225500,1.121543600
9000,0.199345400,432.666584900,0.144942900,3.299004700,484.312845100,2.137556100,1.682181100
12000,0.265168900,771.612575500,0.191668800,4.413357900,852.683004300,2.849839000,2.244548500
15000,0.331665400,1207.283033100,0.240082700,5.539979100,1321.787275400,3.563758900,2.810054700
18000,0.397761100,1744.514425400,0.288171800,6.721980100,1892.423926800,4.603718400,3.374191400
21000,0.464356100,2369.731429800,0.335827700,7.851763500,2583.329101500,5.373579000,4.810412000
24000,0.530989800,3096.710507900,0.383553300,8.981139100,3369.422918200,6.138312300,5.503953700
27000,0.596591600,3918.024122000,0.431652700,10.176728800,4267.930142700,6.906784800,6.192177900
30000,0.663197300,4837.696533000,0.480817700,11.273377200,5255.943944700,7.672646800,6.888958000
33000,0.729637100,5854.098181400,0.527378300,12.423121200,6361.987745800,9.043119400,7.585120400
36000,0.795560400,6966.814564800,0.575596100,13.681059000,7579.787440600,9.865004300,8.278615700
39000,0.862254100,8177.006691000,0.624359100,14.824851900,8875.871404100,10.687711900,8.962724700
42000,0.930830500,9483.961329500,0.672052000,15.963566400,10333.911303400,11.513225800,9.657638900
45000,0.994326100,10887.446052500,0.719669100,17.065983100,11858.724000600,12.334759900,10.350168200
48000,1.061380400,12388.097090800,0.772946300,18.270825100,13543.892547200,13.153369400,11.025527000
51000,1.128214000,13985.430886800,0.815449200,19.486988900,15289.990346300,13.980567700,11.716687200
54000,1.193824900,15679.022060800,0.864514200,20.718402200,17078.498676500,14.797627300,12.414427100
57000,1.259915400,17469.888530100,0.912779500,21.722538700,19079.670089600,15.619245300,13.107673400
60000,1.327320100,19357.547093300,0.958901400,22.937574400,21165.046959300,16.452468900,13.803403300
63000,1.393252100,21341.781371900,1.008106600,24.158217800,23314.133762600,17.264068500,14.502027000
66000,1.458901000,23423.147228000,1.055134600,25.290850000,25595.629968000,19.297429700,15.187704500
69000,1.526277400,25600.996087700,1.104789100,26.551646600,28012.528739900,20.177919700,15.895278100
72000,1.592885200,27875.481887300,1.152804300,27.866849200,30494.347241200,21.044172500,16.581327400
75000,1.657978800,30246.699874500,1.198811400,29.036143800,33115.487654500,21.920639000,17.251923400
78000,1.724709400,32717.565786900,1.247099400,30.145400500,35794.256094300,22.797449600,17.965947100
81000,1.791103700,35280.508910100,1.295345500,31.168696300,38614.377229200,23.685205900,18.619934900
84000,1.856714100,37943.702897300,1.342949500,32.490988700,41503.682255000,24.553051800,19.341650700
87000,1.923936700,40701.486691600,1.392210600,33.655121400,44519.292329400,25.430612000,20.007547300
90000,1.990506600,43559.127607700,1.439853200,34.713608600,47730.699277900,26.313013800,20.695629400
