tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
3000,0.056287400,30.459728200,0.017815100,1.059045100,41.667437000,0.205655000,2.915549200
6000,0.059656700,104.813674400,0.036993500,2.122586100,169.504710000,0.448290300,3.879788700
9000,0.089736700,235.448088900,0.053499400,3.164070700,396.602066200,0.730404200,4.833118900
12000,0.119184300,419.899014500,0.071127900,4.263408400,683.122914600,0.974542600,5.816668800
15000,0.149200300,653.490427500,0.089205000,5.291637200,1056.828262900,1.217888500,6.795466200
18000,0.178715200,940.651621400,0.106667700,6.382259700,1513.001835800,1.574468600,7.746298300
21000,0.209220200,1280.348171900,0.124429200,7.507832600,2065.100447400,1.838328300,8.713001300
24000,0.238167700,1672.021810700,0.142500100,8.627787800,2695.589712200,2.123321300,9.704499800
27000,0.268095000,2116.128346600,0.160214400,9.695542100,3414.958810200,2.364168300,10.682289100
30000,0.297069900,2612.273980700,0.177696700,10.682122900,4205.843759600,2.630469200,11.659252800
33000,0.328003700,3160.873194800,0.195890200,11.621180500,5091.286671700,3.099523200,12.632992500
36000,0.357496300,3761.516159300,0.213533900,12.916064200,6066.099759800,3.384068300,13.624943700
39000,0.386962400,4414.467040200,0.231083300,14.017185600,7106.607645000,3.664255300,14.626994600
42000,0.417437500,5119.703410400,0.249145300,15.162238700,8271.219561400,3.951209700,15.628130000
45000,0.447964300,5877.995667900,0.266690000,16.306692600,9491.329532300,4.230146800,16.580983000
48000,0.476806800,6686.676684600,0.284808600,17.349843000,10835.929124000,4.513398200,17.561050300
51000,0.505053700,7548.385162300,0.302482500,18.472598200,12238.419053900,4.800913500,18.577561100
54000,0.533925300,8462.774560000,0.320129500,19.617179800,13669.024587300,5.078035000,19.595021400
57000,0.566495600,9429.091839300,0.338011500,20.519867400,15302.553588500,5.360664100,20.470052500
60000,0.596343500,10447.830273700,0.355386100,21.557849800,16950.925091000,5.643936800,21.467260800
63000,0.623167400,11523.687771500,0.373461900,22.564816600,18663.208573800,5.925825400,22.497871400
66000,0.655978300,12642.510166800,0.391328100,23.434765800,20489.225643400,6.622890600,23.421237300
69000,0.683136600,13817.234535900,0.409367700,24.826575200,22423.445064300,6.923023900,24.429233000
72000,0.715694900,15044.494716800,0.426490100,26.039157500,24409.871783900,7.224574000,25.549382400
75000,0.743149900,16324.065887200,0.444599300,27.197165600,26508.027373200,7.526643800,26.443186700
78000,0.774691100,17655.775715000,0.462168300,28.273369200,28650.845607200,7.826126700,27.549169900
81000,0.799694000,19039.446866400,0.480211000,29.341682100,30907.946823800,8.128586600,28.552163700
84000,0.837361000,20476.168743200,0.498023100,30.594721800,33220.788393800,8.432566500,29.475942600
87000,0.858749800,21966.735710200,0.515649700,31.920674000,35635.942139100,8.732659600,30.517800800
90000,0.891832100,23506.472783100,0.533638100,32.878529000,38205.212338900,9.032498400,31.457940400
