tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
3000,17.011797700,48.457143900,129.054576800,1.239427900,1.009542400,92.621248400,0.669695300
6000,68.505768900,192.990362900,516.684424300,2.553713800,2.242069500,341.977114100,1.339366300
9000,152.761554400,433.869541700,1158.152252500,3.936395300,3.734113300,936.500353300,2.006495800
12000,270.418036600,773.154135800,2054.927673600,5.268753300,4.785479800,1638.979753500,2.684589600
15000,424.103400800,1209.220344600,3212.547733600,6.670285600,6.850623500,2430.993708800,3.345694500
18000,606.588059700,1742.151023400,4615.305563900,8.116501200,7.516987800,3476.409075000,4.026429400
21000,830.270193600,2371.829854300,6297.401738600,9.471416100,8.844795600,5015.680507200,4.682070800
24000,1086.335016700,3098.254786800,8231.511283000,10.850606900,10.291544800,7124.950814200,5.363077900
27000,1374.441459000,3921.568453300,10415.801912700,12.331163200,12.189586300,7581.730885200,6.031868300
30000,1695.024244400,4841.694439300,12850.962907700,13.737796800,13.179221000,11581.265521400,6.696273300
33000,2054.620864400,5858.525495500,15563.801353400,15.192725300,14.484993000,13486.017801500,7.369364000
36000,2437.276573800,6972.181668700,18498.974679700,16.703845700,16.039917100,13579.227491900,8.041026700
39000,2874.283846500,8182.547288500,21748.141763500,18.104512300,17.449308500,18110.985780200,8.709016900
42000,3328.099733300,9489.753112700,25213.310554600,19.479151200,19.381441800,22393.251665200,9.374218500
45000,3821.961824800,10893.994943100,28965.587851600,20.898432900,20.608850400,22818.636374500,10.063601600
48000,4347.529569600,12394.510391200,32957.972967900,22.331090700,21.680637700,29865.920109400,10.711642900
51000,4911.613097800,13992.519229500,37222.851446100,23.841926900,23.070170700,33090.361514100,11.376964200
54000,5498.359647300,15686.722958300,41710.773114600,25.359130000,24.510007700,34465.545034600,12.060306700
57000,6131.114223000,17479.021068000,46501.833721900,26.698912000,26.538258200,36583.270322700,12.727393300
60000,6793.781790100,19366.376696500,51530.721463600,28.231151600,28.131893000,42469.617378900,13.396893000
63000,7482.424909100,21353.050562200,56791.384681400,29.760457600,29.234837300,43397.026361800,14.063434500
66000,8213.547444400,23433.023834400,62365.216800300,31.206883800,32.484868800,52113.545112500,14.736532500
69000,8958.640477600,25611.312345400,68137.396943800,32.776243000,31.908899800,53890.684606800,15.403945300
72000,9753.708542900,27885.721888200,74209.579332300,34.309627900,33.963584300,58970.978439400,16.067733700
75000,10594.750991000,30249.703819300,80570.489967600,35.753969900,36.625116400,63233.135870900,16.797096100
78000,11462.884494800,32720.085408100,87131.760887400,37.157925200,37.683323100,76387.902499300,17.420258800
81000,12355.773203700,35263.383306300,94066.774856000,38.608708900,38.072524700,83300.608996000,18.076864100
84000,13265.548576600,37896.105014800,101142.623023400,40.061537500,39.635448600,82714.354086600,18.730433700
87000,14212.220854300,40713.233750200,108469.674008800,41.609461600,41.355318200,95415.937791500,19.413604200
90000,15218.003863900,43564.761514600,116051.518461400,42.981647500,45.183586800,99474.938913700,20.126102300
