tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
100,0.023776000,0.036276200,0.072991900,0.035367400,0.011224400,0.030903600,0.073423100
200,0.089423400,0.134829600,0.287948700,0.072995200,0.028069500,0.152923900,0.099644600
300,0.197616200,0.288701800,0.659908600,0.111632800,0.045449700,0.334220900,0.128239000
400,0.355696500,0.503183700,1.179086400,0.152648500,0.073634600,0.502211800,0.152168200
500,0.558584100,0.775122000,1.872728900,0.187882000,0.085660500,0.865979900,0.181884300
600,0.772773300,1.105498700,2.662322700,0.232168800,0.108661600,1.650505500,0.203944200
700,1.053994000,1.490421200,3.659943700,0.274022000,0.125263900,1.535710700,0.229786600
800,1.393473200,1.940968200,4.823094400,0.313721600,0.150271200,1.989246200,0.256357200
900,1.756464400,2.453563400,6.101986200,0.352845800,0.163836100,3.215978600,0.279932100
1000,2.157319700,3.023179500,7.542463100,0.389675000,0.193805300,4.359141900,0.305267100
1100,2.579930400,3.634292100,9.112620900,0.434655000,0.223981200,4.178139300,0.332073500
1200,3.050521900,4.302749200,10.908923500,0.477676300,0.235025700,5.884697500,0.357511600
1300,3.582964800,5.038981300,12.807733100,0.518690200,0.270535300,5.767701900,0.383120100
1400,4.138110700,5.846761100,14.845320700,0.563671300,0.326992200,7.507531700,0.410107400
1500,4.697852300,6.683217700,17.057407100,0.604552600,0.304836100,8.630810800,0.434431300
1600,5.415715300,7.610878100,19.587437400,0.644918500,0.325928300,9.281271400,0.459529000
1700,6.110108800,8.578813700,22.097761100,0.687240300,0.359795100,10.682466700,0.486927300
1800,6.849713300,9.603090300,24.901586300,0.726204500,0.397467200,11.909282900,0.512307800
1900,7.822761600,10.684105100,27.870273900,0.763798500,0.430413700,12.977959600,0.537601500
2000,8.538380900,11.824600100,30.959063800,0.802438800,0.438233600,15.019567200,0.563573100
2100,9.402365700,13.029303100,34.191978900,0.844768000,0.473657300,15.198275500,0.588619300
2200,10.349371600,14.284078300,37.608631600,0.895027600,0.485585600,18.537264900,0.616541700
2300,11.323580600,15.609496100,41.110644100,0.938668600,0.515445100,22.518744100,0.641473700
2400,12.266880300,17.016053500,44.854352100,0.983435500,0.533092100,27.527476200,0.669626700
2500,13.294008500,18.410539300,48.586602700,1.026195100,0.554501700,25.686767000,0.690358100
2600,14.433904300,19.923403300,52.621241000,1.067037600,0.674335300,24.612611500,0.716639000
2700,15.602260500,21.469182200,57.042794000,1.115725500,0.622717500,26.733544700,0.750243700
2800,16.697337800,23.079269100,61.215312300,1.158876200,0.638405100,32.647894500,0.767759700
2900,17.927838800,24.763800600,65.752130200,1.258236300,0.752810300,30.422677000,0.804137200
3000,19.215284500,26.479312600,70.592173700,1.243784500,0.678707200,39.584144600,0.821443900
