tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
100,0.039837600,0.068283500,0.172622500,0.031674700,0.070086500,0.016774400,0.018568000
200,0.155310900,0.258792100,0.716561700,0.066843800,0.263285900,0.037681900,0.036836800
300,0.347301200,0.578704500,1.603694000,0.098862300,0.553274100,0.063177100,0.055183200
400,0.612074900,1.040072200,2.835195300,0.133033700,0.985749500,0.086870600,0.072606000
500,0.955461900,1.624026100,4.429173200,0.165532600,1.488488300,0.108122400,0.090393800
600,1.378871500,2.336527800,6.427448200,0.201538900,2.156379400,0.141396500,0.109347000
700,1.881638300,3.161890300,8.763135000,0.234274300,2.876023700,0.166742900,0.127296700
800,2.464046100,4.133260800,11.458028900,0.269020300,3.760454800,0.190821400,0.144200600
900,3.088371900,5.251907000,14.493388900,0.302063800,4.762140700,0.210160000,0.162268400
1000,3.811537000,6.475031900,17.838970600,0.346279400,5.862022800,0.239633400,0.180347200
1100,4.635974900,7.830130300,21.653760800,0.371752700,7.111712100,0.280467700,0.198418900
1200,5.489607200,9.359195700,25.731479200,0.407098100,8.436445100,0.310864500,0.217169100
1300,6.470451600,11.021177200,30.273018400,0.439999000,9.929787500,0.333562600,0.235699900
1400,7.477136300,12.812576800,35.031443900,0.474389600,11.490905800,0.366804500,0.252925600
1500,8.558279000,14.736959100,40.179735100,0.507978100,13.184087800,0.391370900,0.271037100
1600,9.749632700,16.835757200,45.665607000,0.544679500,14.946001200,0.425044000,0.288998400
1700,10.974233900,19.079959200,51.606592400,0.581813300,16.938934400,0.440250700,0.307375700
1800,12.298905900,21.393104300,57.869011700,0.613468300,18.928191300,0.464494000,0.327583600
1900,13.731313500,23.847796400,64.451778700,0.650607100,21.074104400,0.496893900,0.342926600
2000,15.169020100,26.473804500,71.261138500,0.683507400,23.234866100,0.529193600,0.360647800
2100,16.764402500,29.211018900,78.460846400,0.717158700,25.589727000,0.591515100,0.387110500
2200,18.389282800,32.060395600,86.324244900,0.755544400,28.058357300,0.615360100,0.395951400
2300,20.065409800,35.090803100,94.116084000,0.793397900,30.573669900,0.651642200,0.412862800
2400,21.865626300,38.267247700,102.472215400,0.829468400,33.279456400,0.682590400,0.432807800
2500,23.689761400,41.613454800,111.267698900,0.872802600,36.099160800,0.693721300,0.450365100
2600,25.646731100,45.027555700,120.177567700,0.898415300,39.031413600,0.731757400,0.467999100
2700,27.633014300,48.692114600,129.648246200,0.941842800,42.058500700,0.776560400,0.489217500
2800,29.697181000,52.429092400,139.372853700,0.966708900,45.194176400,0.804218100,0.509262000
2900,31.843298300,56.370805800,149.620152100,1.021957900,48.461598900,0.816988500,0.521973900
3000,34.098155500,60.376523100,160.239024200,1.036693200,51.821860000,0.858011000,0.541585600
