tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
100,0.006819700,0.112560200,0.002925800,0.060451800,0.141128900,0.019823400,0.018288800
200,0.010247600,0.394406800,0.005823200,0.191571800,0.418252500,0.043397500,0.048499400
300,0.010662000,0.808671400,0.007798200,0.236242900,0.887648100,0.067191100,0.109134200
400,0.016150900,1.290417100,0.009357600,0.199408300,1.737994800,0.083260300,0.077647700
500,0.014948000,1.776924100,0.009907900,0.216695300,1.840540600,0.083760400,0.082074600
600,0.015305600,2.210602300,0.010250800,0.222365700,2.172515400,0.098766800,0.086267400
700,0.015577600,2.684623900,0.011209300,0.249545600,2.957816900,0.115175000,0.100677800
800,0.017780700,3.497030100,0.012829200,0.277295900,3.796022900,0.131646500,0.114708600
900,0.020004100,4.477743500,0.014424800,0.311622500,4.876884700,0.148027100,0.127909900
1000,0.022231900,5.508196200,0.016141600,0.351787900,5.968249700,0.168448500,0.144548200
1100,0.025174300,6.644053800,0.018410300,0.386932900,7.282655800,0.200905100,0.157887000
1200,0.026621700,7.871888600,0.019303200,0.425487200,8.486577200,0.219060700,0.172647400
1300,0.028840700,9.168253800,0.020781600,0.452765800,9.967663800,0.237296900,0.186453400
1400,0.031024500,10.762753500,0.022382700,0.494145800,11.676764100,0.255930200,0.201174000
1500,0.034057300,12.210741900,0.024107500,0.523947000,13.443548700,0.275909200,0.215658500
1600,0.035444000,13.866259200,0.025648200,0.566032100,15.146522900,0.295286000,0.229995900
1700,0.037625700,15.602792100,0.027165400,0.598816800,16.824796100,0.310393500,0.245016000
1800,0.039850700,17.585599300,0.029341800,0.634653800,19.234922700,0.333570300,0.257941000
1900,0.042079000,19.444305000,0.030991600,0.670302000,21.455647900,0.347069800,0.279065300
2000,0.044251000,21.583819300,0.031976400,0.701019200,23.807247400,0.365488000,0.396103800
2100,0.046949400,23.729462600,0.034250900,0.739703800,26.638111900,0.443099800,0.402798700
2200,0.050258300,26.484889100,0.035720800,0.778311100,29.033290500,0.443472700,0.409694900
2300,0.050899100,28.406604700,0.036744200,0.818802000,31.779069200,0.463324000,0.434098200
2400,0.053128600,30.959496100,0.038565300,0.852701100,34.444721900,0.483782600,0.446893200
2500,0.055289200,33.568586500,0.039946100,0.895713700,37.039885200,0.503522700,0.463464600
2600,0.057807400,36.276030400,0.041509400,0.920296600,40.229137500,0.522345800,0.484508100
2700,0.059682100,39.169984800,0.044897300,0.958491800,42.737448700,0.570505400,0.519978600
2800,0.063084600,42.149929600,0.044740300,0.996585500,45.982055800,0.562687300,0.522349800
2900,0.064131300,45.119513300,0.046312200,1.044605900,49.181915000,0.582873900,0.546969600
3000,0.068451400,48.294493200,0.047905200,1.070286900,52.492807500,0.603687600,0.560620300
