tam_vet,tipo_busca,alvo,mili,nano;seg
62,Linear,31,0.000514,514,0
62,Binary,31,0.000116,116,0
62,Ternary,31,0.000198,198,0
63,Linear,32,0.000531,531,0
63,Binary,32,0.00033,330,0
63,Ternary,32,0.000193,193,0
64,Linear,20,0.000385,385,0
64,Binary,20,0.000205,205,0
64,Ternary,20,0.000294,294,0
65,Linear,64,0.0009,900,0
65,Binary,64,0.000212,212,0
65,Ternary,64,0.000228,228,0
66,Linear,32,0.000519,519,0
66,Binary,32,0.000241,241,0
66,Ternary,32,0.000178,178,0
67,Linear,17,0.000358,358,0
67,Binary,17,0.000229,229,0
67,Ternary,17,0.000182,182,0
68,Linear,6,0.000192,192,0
68,Binary,6,0.000196,196,0
68,Ternary,6,0.00025,250,0
69,Linear,65,0.000914,914,0
69,Binary,65,0.000169,169,0
69,Ternary,65,0.000195,195,0
70,Linear,5,0.000189,189,0
70,Binary,5,0.000203,203,0
70,Ternary,5,0.000214,214,0
71,Linear,35,0.000566,566,0
71,Binary,35,0.000122,122,0
71,Ternary,35,0.000236,236,0
72,Linear,27,0.000463,463,0
72,Binary,27,0.000212,212,0
72,Ternary,27,0.000185,185,0
73,Linear,20,0.000374,374,0
73,Binary,20,0.000201,201,0
73,Ternary,20,0.000247,247,0
74,Linear,67,0.00092,920,0
74,Binary,67,0.000196,196,0
74,Ternary,67,0.00023,230,0
75,Linear,39,0.00059,590,0
75,Binary,39,0.000221,221,0
75,Ternary,39,0.000288,288,0
76,Linear,35,0.000555,555,0
76,Binary,35,0.000173,173,0
76,Ternary,35,0.000198,198,0
77,Linear,72,0.000962,962,0
77,Binary,72,0.00024,240,0
77,Ternary,72,0.000203,203,0
78,Linear,3,0.00017,170,0
78,Binary,3,0.000245,245,0
78,Ternary,3,0.000262,262,0
79,Linear,60,0.00084,840,0
79,Binary,60,0.000247,247,0
79,Ternary,60,0.000288,288,0
80,Linear,61,0.000825,825,0
80,Binary,61,0.000171,171,0
80,Ternary,61,0.000254,254,0
81,Linear,67,0.000888,888,0
81,Binary,67,0.000198,198,0
81,Ternary,67,0.000209,209,0
82,Linear,10,0.000227,227,0
82,Binary,10,0.000258,258,0
82,Ternary,10,0.000307,307,0
83,Linear,1,0.000136,136,0
83,Binary,1,0.000225,225,0
83,Ternary,1,0.000243,243,0
84,Linear,57,0.000788,788,0
84,Binary,57,0.00015,150,0
84,Ternary,57,0.000228,228,0
85,Linear,73,0.00096,960,0
85,Binary,73,0.00018,180,0
85,Ternary,73,0.000256,256,0
86,Linear,54,0.000755,755,0
86,Binary,54,0.000158,158,0
86,Ternary,54,0.000232,232,0
87,Linear,64,0.000864,864,0
87,Binary,64,0.000253,253,0
87,Ternary,64,0.000247,247,0
88,Linear,63,0.000853,853,0
88,Binary,63,0.000185,185,0
88,Ternary,63,0.000172,172,0
