tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
400,0.686705880,0.518384600,1.542832540,0.162390280,0.703056760,0.042099380,0.300104220
800,2.775896380,2.261978360,6.094734900,0.272260960,2.565320940,0.096527220,0.412942540
1200,6.204019380,5.614273480,13.822692920,0.415088240,5.878829780,0.155037840,0.555523260
1600,10.988967160,10.489086200,24.553387860,0.547188380,10.480959800,0.213063840,0.684732380
2000,17.211680380,16.635303280,37.850680300,0.661205980,16.664599520,0.268177160,0.815416620
2400,24.644003480,24.343598500,54.462437100,0.814215580,23.358181680,0.340543020,0.954692420
2800,33.358621560,33.581674800,74.285737900,0.962018220,32.018239860,0.446731560,1.142671560
3200,44.661222540,44.389597540,96.617784080,1.096095160,41.607487620,0.459929120,1.194115960
3600,54.936610480,56.710673100,122.296409820,1.228273560,52.640293360,0.509637720,1.346810320
4000,67.860100860,70.595168460,151.712745880,1.333538740,65.376700420,0.588089580,1.474674040
4400,82.016883800,86.027966620,182.528015140,1.482832620,78.633152940,0.659274480,1.586309260
4800,98.245309200,104.857426640,222.382217500,1.640396080,93.807221020,0.742200180,1.734945440
5200,114.807040040,119.907740520,255.390816580,1.789818440,110.729373240,0.790789340,1.859061380
5600,138.658751920,144.241407340,299.213318900,1.969133400,128.837682560,0.872450220,1.985903440
6000,153.048278520,160.436416400,339.280565520,2.074033700,150.504644180,1.045677000,2.576840980
6400,186.223805300,181.836741920,405.618504380,2.200467780,167.362229020,1.006436860,2.300704980
6800,195.936900020,207.071648880,436.398262940,2.334749500,189.140880300,1.064791160,2.410195240
7200,219.771754240,230.330729700,488.492144160,2.463985400,212.291760980,1.120047800,2.552164560
7600,244.804079120,256.744938000,543.761310260,2.582955500,236.401997760,1.180935900,2.650937720
8000,271.274805480,291.984811080,603.798395820,2.702019580,262.159472120,1.280450280,2.784953760
8400,299.250495480,314.604781700,684.211904100,2.877428720,294.900923380,1.398311940,3.326404440
8800,331.557102420,346.363467900,755.929199160,3.007586840,319.109735760,1.432622440,3.054841460
9200,359.172378740,377.417272700,802.792163640,3.166071400,347.639514540,1.536862740,3.167647800
9600,391.007473680,428.772556200,877.184576660,3.306328860,378.408347560,1.610124640,3.277360900
10000,444.169345500,449.839473980,945.244386260,3.457540640,413.937080740,1.609633260,3.565695580
