tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
400,0.611242440,1.032123700,2.921037040,0.129589580,0.917979040,0.085427780,0.090133380
800,2.431143780,4.135398480,11.346514000,0.265425360,3.612766960,0.190856220,0.179926220
1200,5.455921580,9.325888640,25.658591620,0.404515900,8.234518640,0.311626840,0.268878260
1600,9.691787280,16.851807420,45.782740840,0.542731400,14.448863860,0.421007380,0.357253360
2000,15.104218920,26.646937640,71.066490140,0.676414300,22.653617500,0.534073380,0.451505000
2400,21.766652560,38.485872100,102.977190720,0.821323840,32.756046480,0.682545440,0.534904640
2800,29.594221980,52.436734560,138.928909940,0.960053880,44.540738400,0.803762520,0.629089160
3200,38.596029560,68.549285320,181.695804660,1.111322080,59.339891000,0.920594220,0.715883880
3600,48.903951040,87.079294640,229.915908860,1.262577340,74.172943180,1.028780900,0.804087540
4000,60.343646000,107.279369960,286.061211080,1.383703160,91.410443360,1.162817500,0.908390360
4400,73.094412620,129.825532620,343.121984420,1.525310580,110.678185400,1.340178140,0.980651880
4800,86.813428420,155.489258660,408.683266500,1.683397460,132.413073960,1.487052020,1.071965240
5200,101.958168920,181.618174800,482.969163620,1.826899100,157.989085820,1.689243860,1.173786000
5600,121.695000340,212.811184220,560.145652600,1.956609960,180.282250080,1.746249160,1.248725060
6000,137.032554240,244.747410020,642.816057280,2.107834480,206.168480500,1.867940340,1.339065660
6400,155.326734320,278.908233740,732.284064380,2.290980940,235.890790020,2.028315800,1.437994220
6800,175.090405200,313.232233400,820.948015700,2.432595320,265.320260440,2.105882260,1.530369340
7200,195.541134500,350.083230620,921.720373780,2.541946180,298.859969860,2.240556080,1.626285320
7600,225.729572220,395.283100880,1045.050069020,2.749808300,340.234261780,2.390877000,1.715006080
8000,247.063550160,436.968373620,1137.594779840,2.848456880,364.223807280,2.539931920,1.796925540
8400,266.567693100,489.640947980,1252.233381020,3.001384880,401.874490480,2.781781500,1.871927640
8800,291.798030020,523.031292860,1374.200834060,3.141299220,441.367614360,2.897843760,1.962104920
9200,319.655006380,576.253059160,1505.336220480,3.291274620,482.465323480,3.173451640,2.057896380
9600,358.023384240,628.438747140,1640.372042140,3.443015680,526.070616900,3.208140540,2.138797660
10000,377.655043960,678.323153840,1814.286575500,3.556740400,568.394389100,3.278315960,2.231811860
