tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
400,0.007570300,0.792755720,0.002416280,0.154063840,0.788906400,0.019992160,0.326577200
800,0.008052040,1.905648500,0.004816400,0.271500680,3.812864680,0.044877680,0.426797620
1200,0.012748760,4.418233020,0.009875920,0.413825960,7.052584060,0.075587560,0.549026220
1600,0.015979860,7.523406680,0.009518560,0.548663720,11.941071320,0.099647760,0.627763060
2000,0.019973180,11.690136920,0.011892180,0.686469520,18.928741000,0.124554140,0.741923440
2400,0.023927400,16.847231400,0.014257180,0.825660060,27.393813160,0.164443800,0.844695660
2800,0.027956620,22.910080100,0.016719740,0.973922760,36.510369480,0.191817840,0.964387620
3200,0.031870180,29.896422540,0.018990660,1.112770180,47.120050700,0.219213320,1.053185740
3600,0.035925260,37.790598500,0.021368580,1.242151360,60.227003200,0.246508000,1.181482520
4000,0.039828560,46.598603100,0.023817320,1.358608860,75.532029160,0.273845060,1.277613620
4400,0.043852800,56.350815320,0.026110000,1.516836400,92.372174140,0.336369420,1.457367280
4800,0.047835160,70.154392180,0.028472580,1.664505780,109.535633520,0.358589860,1.486950440
5200,0.051783880,78.669453080,0.030835640,1.817870420,126.778825660,0.388339100,1.595178060
5600,0.055784340,91.507021960,0.033254020,1.956824220,147.366155060,0.418330520,1.701705140
6000,0.059756700,104.718490960,0.035580200,2.111541780,169.418484200,0.448207700,1.804906260
6400,0.063765180,119.125338320,0.037961900,2.232414420,194.605847660,0.480004840,1.907363160
6800,0.067677520,134.469118640,0.040310000,2.373668860,218.966916460,0.507940240,2.018921140
7200,0.071816540,150.716946080,0.042701400,2.504329160,243.398164060,0.538008400,2.113624480
7600,0.075631140,167.911051940,0.045238660,2.632241000,272.404061420,0.568383400,2.210050520
8000,0.079579840,186.127028940,0.047756200,2.741040480,304.237543440,0.598865240,2.310044540
8400,0.083638760,205.155047620,0.049851100,2.894357140,335.754898820,0.682300660,2.454955320
8800,0.087605920,226.430941040,0.052436100,3.094662620,370.620319600,0.713529220,2.515895640
9200,0.091587720,246.750211320,0.054621980,3.203967860,407.002411880,0.751310300,2.690811880
9600,0.096860920,274.518339060,0.056980020,3.362134480,477.136594540,0.800427980,2.773304840
10000,0.101190900,298.583691820,0.060011020,3.512712420,485.545058660,0.814862000,2.884580560
