tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
400,0.299965620,0.899365700,2.311752820,0.148176900,0.113933080,1.245528140,0.072627060
800,1.183202860,3.521055220,9.228498220,0.309710000,0.235988540,5.221835400,0.145127000
1200,2.651990240,7.848440880,20.675655280,0.478136700,0.360537020,12.394999980,0.216718060
1600,4.814943600,13.954093240,37.052948760,0.645786760,0.505773300,19.717892580,0.288886860
2000,7.516457480,21.724095420,58.003864380,0.809185800,0.660780420,37.824911060,0.360623580
2400,10.979708420,31.208567020,83.542643660,0.983257280,0.802716240,57.951149660,0.431708820
2800,14.964347140,42.456150120,114.019369340,1.152805300,0.980388200,80.561622320,0.505407840
3200,19.555023180,55.241379420,148.358218940,1.330582500,1.191479700,114.041471800,0.579476940
3600,24.619167520,69.946038320,187.498640680,1.500732840,1.261296780,150.808669900,0.647416180
4000,30.395016080,86.642313160,231.523994460,1.675057840,1.556629600,182.831943600,0.720715180
4400,36.894538580,104.391855120,282.035360900,1.900827060,1.589235520,202.563120460,0.794617000
4800,44.535240940,124.760863500,332.844346280,2.040188280,1.790162000,236.883963420,0.864015040
5200,52.774369140,145.736451200,391.248418240,2.201848420,1.953431480,301.359312200,0.936746100
5600,60.455397020,170.591197680,456.076777440,3.379567080,2.207427920,363.807394100,1.009348020
6000,67.882978540,193.710469280,518.738221920,2.561312680,2.229356740,439.174979940,1.106983780
6400,77.886491740,225.752504760,592.416625020,2.741908860,2.449828600,379.923213500,1.158981780
6800,89.549783740,248.599661080,673.540387560,2.942652000,2.515834180,551.074368460,1.230228140
7200,98.037276840,282.288343520,748.102071200,3.114818360,2.795179020,506.707528860,1.300963720
7600,109.421196160,310.237640920,832.628091800,3.285010420,2.842435480,585.761521880,1.367915780
8000,124.795470800,350.197870460,923.994598800,3.483880780,3.186494360,702.470313080,1.453737900
8400,134.601524320,383.539472760,1023.022447920,3.645012440,3.248315400,765.926942000,1.531739840
8800,156.531752560,423.234960980,1112.951608160,3.863292340,3.523877360,960.384177220,1.592529460
9200,159.370923120,456.277171300,1226.150940100,4.020563060,3.667125220,951.090003360,1.658725880
9600,173.141740220,498.386450960,1325.231883720,4.196559920,3.753907560,945.501129600,1.732984120
10000,187.630253720,539.477733780,1441.068912760,4.370111080,3.844559480,1167.440779680,1.800311860
