tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
400,0.015840880,1.354194980,0.008595220,0.188483500,1.197975320,0.064944560,0.060664480
800,0.018882660,3.620645660,0.012801940,0.273655280,3.935858600,0.132077340,0.114285360
1200,0.027336180,7.868598640,0.019204340,0.414988780,8.486084280,0.220565680,0.174636240
1600,0.035571900,13.866347920,0.025545880,0.563323400,15.185321120,0.300915300,0.229906020
2000,0.044239560,21.667004580,0.032050020,0.697795560,24.047110980,0.371366040,0.375088460
2400,0.053079820,31.158210440,0.038369920,0.849335720,34.691115200,0.486860260,0.450840040
2800,0.062872460,42.383580300,0.044988920,1.006120440,46.395747320,0.576213420,0.526352140
3200,0.070848360,55.478391620,0.052360260,1.158608620,59.594364720,0.654395200,0.606561700
3600,0.080642740,70.285776720,0.057767200,1.293070520,76.210022820,0.731320320,0.675275540
4000,0.089972800,86.340843460,0.063934660,1.427719260,95.863083960,0.809815880,0.758297760
4400,0.098516500,103.814430100,0.070216420,1.572632460,113.889863220,0.999092860,0.834977360
4800,0.107191100,124.412147180,0.076654360,1.726949540,140.709670320,1.173698840,1.001594620
5200,0.116457000,146.854627680,0.083280300,1.873691180,159.615882560,1.154729220,0.973137660
5600,0.123982700,168.853023380,0.089807640,2.034282940,186.440324240,1.241786200,1.047589280
6000,0.132686120,195.665662080,0.095814820,2.174278960,216.580956820,1.379467480,1.221359980
6400,0.141974100,221.697579480,0.102936520,2.327831980,244.768109060,1.419873680,1.200273060
6800,0.150675560,247.366849540,0.108647660,2.471021860,275.736722460,1.504129500,1.278899480
7200,0.159239760,281.023183080,0.116045600,2.623667420,307.677887460,1.582857140,1.344658820
7600,0.168147280,309.387208520,0.121555100,2.755551380,342.938465160,1.677523000,1.421721580
8000,0.177037880,344.856772020,0.127864620,2.987644320,382.292078720,1.759489060,1.495805260
8400,0.185991020,377.977531940,0.134159480,3.042934000,431.028795260,2.049682600,1.614832260
8800,0.196406060,428.475906600,0.144624600,3.290906520,469.687830660,2.097088080,1.652685960
9200,0.207076800,455.524815520,0.148947760,3.442106340,516.139197920,2.211523940,1.742200000
9600,0.212544580,501.555927500,0.154308780,3.519943980,557.239627020,2.302355720,1.809166240
10000,0.222624060,539.372244260,0.161024480,3.675517240,605.827178080,2.406646100,1.896760840
