tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1000,1.978769720,5.712707520,14.507604460,0.394128020,0.306075760,7.840556440,0.225155980
2000,7.954399020,21.741159400,58.280485740,0.814339920,0.639581600,36.460640180,0.452587800
3000,17.205396680,48.850576600,129.864015060,1.237070380,1.031586420,92.380707040,0.669422500
4000,30.247937740,86.094913060,230.902867860,1.685919280,1.462338180,173.745571240,0.891217520
5000,47.081979940,134.722525180,359.184465520,2.118549880,1.798074760,268.891253660,1.131402000
6000,67.585019360,194.599218220,516.330058620,2.566454940,2.271936260,387.198032240,1.346495300
7000,97.000418840,264.002014340,703.274846080,3.012911780,2.832081960,528.606583520,1.564331740
8000,119.860714840,342.725000440,913.484481300,3.458290020,3.012223740,668.983929540,1.787026800
9000,151.517596520,440.015333640,1162.551307480,3.991051440,3.551414520,959.076073440,2.040150120
10000,189.653920140,542.882658520,1441.870839440,4.423134000,3.931038820,1175.810228420,2.235793600
11000,227.144864360,652.914371040,1741.681165100,4.884311820,4.324279840,1339.407149000,2.489447240
12000,272.335738640,776.175924120,2065.763384300,5.311620520,4.928133520,1699.246302480,2.705468480
13000,320.474964680,913.791442520,2430.678301600,5.800465040,5.272570200,1938.242955400,2.928668900
14000,370.921610760,1059.543404640,2803.906589760,6.196866080,5.839545220,2083.893011020,3.128962200
15000,424.698586220,1208.886419320,3216.600019600,6.668276740,6.741270320,2643.337952100,3.353727220
16000,484.836558060,1375.674575740,3663.882118420,7.127617180,6.841060440,3003.551359400,3.576811360
17000,545.671534740,1553.209810320,4134.987614700,7.627789680,7.179994600,3125.062430860,3.799717800
18000,614.309677440,1743.274524980,4660.101424340,8.127696400,7.980798840,3886.385400360,4.042870900
19000,685.772505400,1951.188685100,5180.808970660,8.579006960,8.028874540,4474.467314180,4.244286300
20000,757.342418980,2153.692327700,5727.825848120,8.995770160,8.363626080,5228.900202380,4.466540100
21000,835.400933140,2370.827877360,6319.311127780,9.466637980,9.043217340,5178.415793280,4.802619900
22000,919.258648220,2624.534882960,6952.349825360,9.933340960,9.204400720,5663.761797460,4.912529260
23000,1001.018675720,2844.673581160,7576.790509780,10.406918400,9.805179800,6209.578632700,5.131501420
24000,1087.623507020,3097.157900300,8246.672500200,10.839787760,10.180171760,6453.276868320,5.359835740
25000,1180.515584260,3360.625522240,8952.001405160,11.322631860,10.850290100,7359.267337260,5.582805660
26000,1275.266453140,3633.358405640,9676.775827840,11.852431960,11.220828380,7812.864882460,5.803044280
27000,1375.342694360,3919.714751160,10433.381372420,12.325854000,11.769368540,9494.140960260,6.031129000
28000,1480.107616240,4215.191108020,11222.435872200,12.782694680,12.038553280,9456.356203540,6.248609220
29000,1582.376525020,4522.117699680,12022.456925180,13.229675660,12.355647860,10027.796939760,6.472904800
30000,1694.498649600,4839.378718180,12871.311026840,13.722205040,13.248749060,9633.098628600,6.694025540
31000,1809.243753800,5167.256065240,13744.979593240,14.200745480,13.529290740,9531.498685840,6.920002760
32000,1927.401631980,5506.243362020,14643.070180360,14.671088260,13.780400440,11241.293115520,7.146981620
33000,2049.631641960,5855.943527980,15577.417662840,15.156834780,14.750427700,12443.799426820,7.363270720
34000,2175.161955080,6215.990380020,16535.265813360,15.673827700,15.327942440,13558.199291800,7.592583120
35000,2302.458309120,6587.469309520,17518.155510480,16.178028060,15.075819520,15162.205737120,7.815655380
36000,2434.297033140,6968.382374560,18531.106097240,16.662118800,16.708169480,15376.938194820,8.039929300
37000,2568.247933520,7360.718046200,19565.182830680,17.148687400,17.740791100,16220.666820500,8.264492300
38000,2706.623270240,7764.476891440,20630.080251620,17.633400340,17.297680300,17566.067737060,8.569929500
39000,2861.119864340,8195.675266640,21869.441959720,18.226557180,17.253057720,17790.755425760,8.769826860
40000,3006.716790680,8640.492442020,23009.300608140,18.535933440,18.392228500,18314.980496480,9.032657160
41000,3161.629526840,9059.290513420,24060.517829560,18.954597220,19.046905720,18994.656223560,9.172914440
42000,3310.211043420,9498.072360740,25276.169247880,19.518817920,18.721137060,21292.851887200,9.398088240
43000,3473.803877860,9980.601207840,26505.505772140,20.145566560,19.324617860,22367.780266160,9.696185020
44000,3639.719183100,10442.016110640,27668.873354240,20.443846840,20.064356220,23760.261720460,9.832336580
45000,3797.429141780,10888.911961320,28942.092515940,20.891633960,20.310292520,23000.336365860,10.051074400
46000,3965.965698300,11378.293172460,30238.797501900,21.415773180,21.263948220,22339.035875020,10.281528420
47000,4139.991529220,11878.330131940,31567.007982040,21.876601560,22.095381260,27145.071055080,10.495582880
48000,4319.222486060,12389.018423860,32927.590557860,22.317076040,21.575835880,28174.858673260,10.725061840
49000,4501.787839080,12910.467124740,34314.579478640,22.776324740,22.136447960,28585.267687740,10.951558300
50000,4687.040908420,13442.744835800,35733.496490540,23.307924820,23.425585140,29757.469991560,11.169143100
