tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1000,0.043629960,6.086216480,0.016837780,0.350568800,6.045713440,0.166946520,0.144487640
2000,0.044283200,21.799269060,0.033321300,0.715035780,24.096830000,0.377447600,0.379771100
3000,0.067386860,49.131466260,0.048854680,1.083294880,53.090986540,0.616885160,0.571302420
4000,0.090031880,86.898426160,0.064802860,1.447287300,95.664910780,0.803523080,0.749878320
5000,0.110824280,134.841869460,0.081084480,1.817766460,148.482221020,1.096965440,0.936334380
6000,0.132792460,193.885863080,0.096452700,2.181292280,227.420970780,1.315656420,1.123607040
7000,0.154893080,262.777869800,0.111958100,2.535977060,288.887001100,1.533804940,1.310610780
8000,0.176972120,345.751425360,0.127878100,2.899701300,381.307007880,1.753543100,1.496999260
9000,0.199352680,432.758537740,0.143903720,3.294320040,483.649786200,2.137692540,1.682898180
10000,0.221295000,534.947478340,0.159980800,3.656851340,594.200080260,2.375143260,1.872439600
11000,0.243462560,647.830791600,0.175894240,4.038543800,712.422642540,2.614202960,2.056846580
12000,0.268246900,771.654142460,0.191947960,4.417091080,851.056094720,2.850293040,2.247145220
13000,0.288056840,907.382223820,0.208011520,4.813441860,998.942629440,3.088960000,2.436516860
14000,0.310323480,1051.797872780,0.225707660,5.165430700,1154.193369720,3.325507980,2.619869340
15000,0.332165180,1207.428907940,0.239767680,5.542750160,1321.752629560,3.562927400,2.806415020
16000,0.355066320,1374.199689560,0.255646240,5.905983980,1505.933576620,3.809274500,2.996201840
17000,0.376762480,1552.334320300,0.271792060,6.309100340,1688.799579480,4.348190360,3.183597160
18000,0.398629380,1740.465409340,0.288671680,6.776117720,1891.730569700,4.603151720,3.370109860
19000,0.420844780,1938.815758440,0.303929060,7.105520520,2104.497158160,4.870463420,3.581661340
20000,0.443137720,2148.477540780,0.319519680,7.447644580,2343.283160200,5.115236920,4.587470220
21000,0.464869360,2369.130359120,0.335609060,7.843325720,2581.748911640,5.372316560,4.834575160
22000,0.488511720,2602.690809600,0.351855300,8.234036580,2837.384019520,5.642321420,5.061997920
23000,0.511178000,2844.039713960,0.367705580,8.709344200,3089.564766620,5.886758760,5.287572100
24000,0.532035880,3096.355486740,0.383868220,8.978185860,3369.796835220,6.140861980,5.513869700
25000,0.553890460,3359.023747140,0.400798120,9.366661080,3649.841429300,6.396988840,5.741382500
26000,0.576152260,3633.738648260,0.415934280,9.801724400,3951.614526200,6.649824800,5.968470580
27000,0.598076860,3926.687557060,0.431915220,10.173422860,4281.334523180,6.909556080,6.206958760
28000,0.620553960,4218.250710220,0.451664000,10.655652000,4592.552692860,7.162816180,6.438371760
29000,0.643367060,4524.091591500,0.464218820,10.932536080,4918.930694320,7.417661280,6.662300100
30000,0.664886440,4837.896972740,0.479322940,11.279870320,5259.991640240,7.676139900,6.906397240
31000,0.687001840,5171.021516240,0.497967900,11.791286700,5623.148985400,7.932733540,7.135557700
32000,0.709328600,5510.948669040,0.512430000,12.109510540,6009.861644640,8.192737560,7.365032620
33000,0.731188540,5860.175326540,0.528001020,12.430628980,6369.227432260,9.049618880,7.636308580
34000,0.757334720,6218.438469320,0.543545600,12.860517360,6782.078088540,9.433891500,8.190782680
35000,0.781289160,6651.384274220,0.559604980,13.280828540,7180.710511480,9.592331760,8.048852640
36000,0.797108220,6983.001091200,0.578235620,13.683319280,7599.461490660,9.919232820,8.346881300
37000,0.820267200,7469.370362760,0.599716440,14.477102460,8040.197637060,10.145140140,8.519931820
38000,0.841954500,7770.190770580,0.608674040,14.484799240,8441.231226300,10.415029360,8.743618260
39000,0.864071540,8668.213918140,0.951887000,19.465857300,9368.514213580,10.718548000,9.019449720
40000,0.888881220,8624.006632080,0.644807620,15.193576640,9407.757768160,10.962661840,9.202643080
41000,0.907911780,9089.970296020,0.655876240,15.498419160,9930.354184960,11.247565620,9.456313720
42000,0.931123100,9495.658734740,0.672248560,15.997730160,10362.941006340,11.647782660,9.771283240
43000,0.953083340,9979.838480160,0.688886900,16.391643000,11414.701298500,12.076682200,10.456527220
44000,1.063745060,10757.455555520,0.816347660,17.983268380,11921.716047620,12.405037820,10.458950020
45000,1.012997100,11307.772066060,0.743810520,18.165186340,12164.814494620,12.350744960,10.378540140
46000,1.020254540,11391.145508980,0.737029780,17.558105780,12413.516499260,12.616460940,10.655945700
47000,1.049833760,11889.599281220,0.751753280,17.915435340,13009.776940940,12.883169700,10.820967200
48000,1.063508840,12396.532059800,0.767733120,18.267034740,13553.650955900,13.178450660,11.065395020
49000,1.086793940,12918.310355340,0.785661460,18.696712080,14126.842013800,13.445184080,11.294170960
50000,1.108576240,13456.724026920,0.807797680,19.256641100,14699.037817680,13.704333420,11.511310040
