tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1000,4.237011860,3.679359140,9.423609880,0.329349800,4.282067500,0.121200580,1.084342100
2000,16.933877480,16.457790560,37.662438000,0.664532420,16.711955120,0.267804060,1.404307520
3000,38.086178240,38.931045900,84.718764740,1.030585760,37.109123040,0.426537200,1.726169840
4000,67.695952720,70.019334000,150.570754460,1.339221060,65.862057420,0.586905720,2.066726420
5000,105.768287880,109.675815420,235.235757660,1.726942460,103.091361920,0.737189420,2.408570700
6000,152.300341360,158.155564680,338.710330520,2.083006120,148.531538300,0.932410500,2.736434980
7000,207.296316460,216.463130880,460.973869880,2.409873900,201.928132740,1.100475160,3.048702260
8000,270.748738020,284.038051200,602.064389940,2.710295020,263.689388140,1.280536600,3.367760520
9000,342.692505100,360.939470560,761.943139580,3.106335520,333.441208080,1.457830580,3.703384140
10000,423.132963820,446.956667720,940.635977880,3.488903720,411.395591280,1.605234220,4.019312140
11000,512.048540760,542.252202220,1138.136587200,3.863796800,497.630502500,1.823046900,4.335567940
12000,609.432131320,647.092395440,1354.425402740,4.197480380,592.064989600,2.017279520,4.705427380
13000,715.263242440,760.757972760,1589.543055820,4.539611960,694.629588480,2.151813560,5.011872540
14000,829.587503820,882.519064380,1843.422331680,4.865852700,805.321597140,2.384055200,5.323072940
15000,952.347220800,1013.587242520,2116.165527520,5.184849560,924.278604100,2.485901820,5.638076580
16000,1083.598445360,1153.612020720,2407.638128240,5.458970340,1051.574643920,2.768520780,5.951010820
17000,1223.298654260,1304.886266020,2717.960902220,5.850494540,1186.877035120,2.953940900,6.262091540
18000,1371.483712060,1461.079961960,3047.138744400,6.270022680,1330.223006200,3.149334180,6.651676660
19000,1528.131954160,1629.232937680,3395.110178240,6.658279160,1482.044787960,3.349008980,6.942527340
20000,1693.241428400,1805.234358580,3761.853531560,7.037333580,1642.274329120,3.471738480,7.297535820
21000,1866.816504540,1991.775391420,4147.333367500,7.410508140,1810.782694640,3.658501760,7.611384060
22000,2048.820617820,2187.251422480,4551.793425740,7.794836980,1987.528747480,3.933005160,7.938039800
23000,2239.386959760,2392.150736580,4974.980969420,8.136172820,2172.494568500,4.101599060,8.256371340
24000,2438.352939620,2605.714262360,5417.012421980,8.476334840,2365.475607660,4.348744940,8.603841080
25000,2645.727637700,2827.975119940,5877.603988240,8.825872240,2566.365159860,4.450709620,8.919818860
26000,2861.635135240,3059.651389160,6357.356684580,9.169403860,2775.654201140,4.640857620,9.218758740
27000,3086.154969240,3300.209166880,6855.703820160,9.509417760,2992.783889600,4.909188580,9.544608440
28000,3318.969292320,3549.315622560,7373.134698360,9.827698400,3218.092454780,5.133089320,9.869632740
29000,3560.258618000,3808.334321520,7908.906142400,10.149777440,3451.440817420,5.168142420,10.197776740
30000,3810.018084460,4076.397721800,8463.817217460,10.450700200,3692.938531360,5.360235380,10.522330480
31000,4068.315677540,4353.838458680,9037.706338920,10.757030040,3942.788216180,5.562695360,10.822018480
32000,4335.121952320,4639.995011260,9630.029833560,11.025077280,4200.977970420,5.952637160,11.137486060
33000,4610.316609820,4935.167137620,10241.830609480,11.383421080,4467.599410740,6.131293580,11.454911820
34000,4894.188893360,5240.011793500,10872.064687720,11.813954380,4742.584851420,6.347707980,11.790095580
35000,5186.247324400,5553.440526660,11520.979987680,12.223289760,5031.946011240,6.547889760,12.151483660
36000,5487.026101400,5876.120965300,12238.066191020,12.673284280,5329.454576720,6.772572160,12.474705360
37000,5822.643905980,6231.307129080,12887.521946660,13.030367460,5631.909721680,6.882938220,12.795922540
38000,6120.295834440,6565.383378940,13627.334302400,13.490201060,5925.136295140,7.195306680,13.196359680
39000,6439.131254040,6899.878634360,14303.612257380,13.834084840,6239.464796120,7.224095260,13.571221960
40000,6773.595434500,7257.892450480,15046.794528200,14.196285120,6561.521455380,7.475469300,13.914189320
41000,7116.645840460,7625.506872800,15808.424390260,14.497277700,6892.400420900,7.658114160,14.225577560
42000,7467.909770020,8002.649658500,16590.340627960,14.948131860,7232.494746160,7.861530620,14.522743840
43000,7828.416927420,8388.644288100,17388.760392120,15.289292880,7579.353744400,8.272296800,14.883967460
44000,8196.479008460,8783.744730960,18208.130332780,15.722481040,7935.249469420,8.441827500,15.172059440
45000,8573.478075140,9188.130609160,19044.118041120,16.047296780,8298.751099360,8.502023140,15.492085180
46000,8958.520963200,9600.887682760,19900.211527600,16.416548420,8673.824971180,8.807674440,15.812084040
47000,9356.241612440,10019.108233900,20768.174443920,16.768816240,9048.081544440,8.889399380,16.124530280
48000,9756.554330260,10455.272513940,21669.004359640,17.090049100,9438.898694820,9.320928960,16.471205040
49000,10164.915864020,10896.865111680,22581.110245640,17.364928960,9834.986145680,9.233395440,16.792518960
50000,10584.137515060,11345.336876420,23511.800221980,17.801600620,10239.688746920,9.553195360,17.202133240
