tam_vet,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1000,2.160250920,3.005586000,7.556207840,0.388836940,0.208404220,3.146440560,1.085471860
2000,8.563002380,11.825347040,30.911708420,0.800701020,0.432489340,14.621971540,1.404730040
3000,19.184246360,26.461988120,70.591507920,1.240595680,0.724730640,40.732024020,1.726587840
4000,33.498460980,46.900126220,125.196650080,1.645350480,0.970589920,65.120229000,2.077206120
5000,52.380140680,73.153142940,196.904324540,2.103898560,1.323223460,96.341747160,2.422437700
6000,75.735014000,105.200576180,284.857347500,2.545155440,1.518927940,169.840902180,2.727427600
7000,102.651419340,143.015221140,387.245403800,2.976645300,1.934615340,179.929253960,3.086180800
8000,134.713549780,186.696404580,508.301429800,3.378081000,2.093914600,296.844432480,3.375829560
9000,169.940130240,236.144303500,642.912257440,3.862017280,2.323695160,332.949818540,3.747661740
10000,210.970037140,291.416193240,795.761598920,4.314834880,2.622081420,441.664236600,4.042721420
11000,255.849676280,352.527618500,964.099562620,4.786139920,3.132128260,559.440231240,4.333632400
12000,304.648464360,419.453032220,1147.853098120,5.217974040,3.305293180,638.429377300,4.706655320
13000,358.029582000,492.140814020,1348.158377300,5.670112220,3.571165660,688.518242920,5.026119260
14000,416.567316880,570.588142700,1564.943280720,6.099006900,3.989352760,956.983435980,5.325942960
15000,477.230362960,654.874550820,1794.403136620,6.512212660,4.324648660,912.557720100,5.695780360
16000,542.544130820,744.929746320,2042.022881260,6.916619560,4.670183100,1153.857557080,5.985189120
17000,612.893319960,840.827659540,2305.827747640,7.395405440,4.772493640,1347.188371540,6.384547380
18000,686.877512940,942.545548060,2582.996203300,7.909325900,5.152825780,1472.503365780,6.718683600
19000,766.264879960,1050.083376800,2881.332286140,8.385757520,5.579996140,1571.763466440,6.990492580
20000,848.812242640,1163.383181360,3192.118287760,8.840203120,6.102050520,1787.651616100,7.343031220
21000,933.779631580,1282.528797740,3514.824785660,9.326176860,6.068231300,2094.775670700,7.671301760
22000,1027.357309960,1407.340188980,3862.754002040,9.812344960,6.619627540,2171.951835920,7.958167440
23000,1123.532903740,1537.957948920,4223.997257040,10.269285140,6.580799160,2310.968340540,8.281017180
24000,1220.444545940,1674.462253900,4593.767734480,10.707321480,7.342745880,2674.585492960,8.613302220
25000,1324.167864880,1816.888738400,4984.729976960,11.162230480,7.465292440,2884.868040880,8.986037340
26000,1431.121356180,1965.150078740,5388.322047420,11.631243040,8.037900520,3004.555438600,9.312073300
27000,1542.927217960,2119.010914460,5812.340723520,12.077738400,8.113067260,3642.241710700,9.621643100
28000,1658.203697700,2278.794130400,6250.287154240,12.508018720,8.532400800,3499.055161800,9.863009720
29000,1776.782498980,2444.407032160,6701.352877460,12.940060320,8.808826360,3971.145293040,10.232073320
30000,1903.430414200,2615.700507200,7174.657428400,13.355141520,8.799161580,4179.806495400,10.653188160
31000,2034.563006720,2792.917114620,7663.519135360,13.760327380,9.905438620,4606.455755200,10.913788980
32000,2168.224735700,2974.169389160,8170.684548440,14.183226200,9.392399980,4725.107610620,11.203216020
33000,2310.841243800,3164.574674100,8697.244590560,14.599979740,10.307967780,5053.218397520,11.471982300
34000,2450.480882540,3361.297640380,9221.275724680,15.171150160,10.264756060,5428.306424640,11.917938380
35000,2602.286704080,3559.991285780,9781.713135940,15.687361080,10.367691580,5682.671863220,12.244173460
36000,2754.492212240,3765.412828700,10358.128132580,16.198026100,11.280054100,6298.757960580,12.522905100
37000,2908.437796080,3977.844504460,10934.051371120,16.669356740,11.616604840,6167.790181200,12.870683900
38000,3064.755612540,4194.656451060,11530.423640980,17.187614800,11.649815840,6161.816315800,13.166990240
39000,3226.483276640,4418.068742520,12144.438368480,17.633813580,12.098532800,7482.654541060,13.579112640
40000,3393.061778420,4648.052040720,12773.787787480,18.186157400,14.087614220,7406.200462100,14.059424680
41000,3607.074468800,4915.725078960,13440.346543960,18.586206600,12.570322940,8342.891663760,14.380539180
42000,3797.798506840,5140.698414860,14299.732909380,19.304115420,12.854562740,8033.026190980,14.734384260
43000,3971.396467560,5386.402371560,14841.396994680,19.825940700,14.971449720,9450.508963900,15.087264260
44000,4138.870764800,5626.420544600,15492.948462060,20.235901440,14.292823460,9137.550239500,15.241697340
45000,4313.797230700,5897.365172180,16196.426579380,20.515072040,14.289486060,9838.289858700,15.500298400
46000,4487.991408360,6152.404494900,16926.969172260,21.270667720,15.571841200,10660.196776500,15.831223580
47000,4685.340191000,6420.961192840,17633.697841800,21.483360720,15.106749660,10220.696117240,16.201143440
48000,4875.781093580,6701.230638480,18387.468114400,21.905766400,15.268139760,10938.706758900,16.443257220
49000,5077.891617960,6981.773891880,19161.994496380,22.354947880,15.201379600,10921.343434480,16.926135920
50000,5288.505287820,7278.414194820,19946.917738880,22.846959600,16.479302500,11330.667762300,17.165477480
